"AqsID","Site Name","Lat","Long"
"270530962","Minneapolis-Near Road","44.9653","-93.2551"
"551050030","Beloit-Converse","42.51831","-89.06347"
"550030010","BAD RIVER TRIBAL SCHOOL - ODANAH","46.6144","-90.6986"
"191770006","Lake Sugema","40.693298","-92.006104"
"550090005","GREEN BAY E HIGH","44.5167","-87.9939"
"270353204","Brainerd","46.3944","-94.1433"
"380130004","Lostwood NWR","48.641899","-102.402199"
"270052013","Detroit Lakes","46.8511","-95.8467"
"551199991","Perkinstown","45.2066","-90.5969"
"190850007","Pisgah, Forestry Office","41.832199","-95.928101"
"380250003","Dunn Center","47.320301","-102.526398"
"380530002","TRNP-NU","47.6011","-103.2642"
"380650002","Hannover","47.1858","-101.4281"
"551110007","Devils Lake","43.4356","-89.6803"
"191630017","Buffalo","41.467201","-90.688301"
"190450019","Clinton, Chancy Park","41.823101","-90.211899"
"191630015","Davenport, 10th & Vine","41.529999","-90.587502"
"270834210","Marshall","44.4572","-95.835"
"000070118","Winnipeg_Scotia","49.9319","-96.8631"
"000070119","Winnipeg_Ellens","49.9489","-97.3964"
"000070203","Brandon","49.8422","-99.9189"
"380150003","Bismarck Residential","46.8253","-100.7681"
"191630020","Davenport, Hayes School","41.512032","-90.624016"
"550790058","Milwaukee College Ave","42.930569","-87.932106"
"551170009","Sheboygan-Haven","43.81523","-87.79194"
"381050003","Williston","48.152822","-103.639583"
"271390505","Shakopee","44.789398","-93.512497"
"270317810","Grand Portage","47.9721","-89.6908"
"270072304","Red Lake Nation","47.878159","-95.029172"
"270370480","Lakeville - Near Road","44.706123","-93.285803"
"270177417","Fond du Lac","46.713694","-92.511722"
"551010020","Racine-Payne and Dolan","42.7783","-87.805"
"191370002","Viking Lake State Park","40.970001","-95.044998"
"271230871","St. Paul-Harding H.S.","44.9594","-93.0356"
"460330132","WIND CAVE","43.557613","-103.483658"
"460710001","Badlands","43.746944","-101.941109"
"550350014","Eau Claire","44.761398","-91.413002"
"460650003","Pierre","44.373786","-100.287269"
"271231908","St. Anthony Park","44.973096","-93.199879"
"270370470","Apple Valley","44.7383","-93.2372"
"270530963","Minneapolis-Phillips","44.9536","-93.2581"
"271713201","St. Michael","45.2108","-93.6686"
"271453052","St. Cloud","45.55","-94.1333"
"271095008","Rochester","43.9947","-92.4497"
"380070002","Theodore Roosevelt NP - Painted Canyon VC","46.949699","-103.514397"
"550430009","Potosi","42.692131","-90.696373"
"271377554","West Duluth","46.743889","-92.166946"
"271636016","Marine on St. Croix","45.168","-92.7651"
"460930001","Black Hawk","44.155636","-103.315765"
"461030020","Credit Union","44.087397","-103.273777"
"460990008","Sioux Falls","43.54792","-96.700768"
"271377001","Virginia","47.5212","-92.5393"
"271230868","St. Paul - Downtown","44.9507","-93.0985"
"550550009","Jefferson-Laatsch","43.0034","-88.8283"
"191390019","Muscatine, High School East Campus","41.4014","-91.0684"
"550590025","Kenosha-Water Tower","45.296","-87.886"
"thunder-bay","Thunder Bay","48.3794","-89.29"
